"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"Liverpool 2-0 Chelsea: Mohamed Salah tops ratings https://t.co/hDxQYND8IC https://t.co/DF9dMkAXS0",FALSE,0,NA,"2019-04-18 22:26:33",FALSE,NA,"1119004314884644864",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Katombozi",0,FALSE,FALSE,NA,NA,"Belgium"
"@emcmillan06 PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic ques… https://t.co/VSMQCyftQv",FALSE,0,"emcmillan06","2019-04-18 22:26:26",TRUE,NA,"1119004286531227648","1001594460957011968","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"Fantasy football: Tips for picking your Premier League team https://t.co/tJV5n4lHOq",FALSE,0,NA,"2019-04-18 22:26:25",FALSE,NA,"1119004279602180096",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FostJulia",0,FALSE,FALSE,NA,NA,"Australia"
"James Shan: The person to proper West Brom's wrongs https://t.co/cqpgosN1qJ https://t.co/Kqc5TgaPj6",FALSE,0,NA,"2019-04-18 22:26:13",FALSE,NA,"1119004229895639040",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","punga127",0,FALSE,FALSE,NA,NA,"USA"
"Lean On Me | The spring game gets fans in a lather over highly-touted yet inexperienced young guys and while a few… https://t.co/uU4D6YRzfw",FALSE,0,NA,"2019-04-18 22:26:10",TRUE,NA,"1119004220005519360",NA,"<a href=""http://www.google.com"" rel=""nofollow"">stephenjlux Auto-Tweeter</a>","stephenjlux",0,FALSE,FALSE,NA,NA,"Columbus, OH"
"@VolNavy720 Just in time for football season. I’m watching games with you man!",FALSE,0,"VolNavy720","2019-04-18 22:26:08",FALSE,"1118905824917774336","1119004210153050112","1634305039","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VolRob24",0,FALSE,FALSE,NA,NA,"Georgia, USA"
"@ChrisEvansQB Chris, PrepStar Magazine has identified you as a top college prospect via HUDL. 

Step 1 complete thi… https://t.co/Chu0JB0yOc",FALSE,0,"ChrisEvansQB","2019-04-18 22:25:58",TRUE,NA,"1119004169724030976","1080269015505879040","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"@Football_Brony @TheGambleHorse We’re here if you...Need anything",FALSE,0,"Football_Brony","2019-04-18 22:25:35",FALSE,"1119003034292506624","1119004073947291648","2348444348","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JoshuaJ70318794",0,FALSE,FALSE,NA,NA,"Tennessee, USA"
"@ElsberndDylan PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic qu… https://t.co/cTnA7dEbGY",FALSE,0,"ElsberndDylan","2019-04-18 22:25:30",TRUE,NA,"1119004050903699456","1023578181138300928","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
"Liverpool to match Barcelona's ticket prices and subsidise supporters (via @football_ie) https://t.co/ztHLufIXMB",FALSE,0,NA,"2019-04-18 22:25:18",FALSE,NA,"1119004001230520320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arpc1973",0,FALSE,FALSE,NA,NA,"Ireland"
"Even asking this question is disrespectful if we’re talking college football only,,, which we are",FALSE,0,"MeechDT","2019-04-18 22:25:15",FALSE,"1119001427572068352","1119003989167804416","3195381181","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MeechDT",0,FALSE,FALSE,NA,NA,"Oviedo, FL"
"Big hitz<U+26A1><U+FE0F><U+0001F976><U+0001F98D>#weightroom #football #bighits #Grinding https://t.co/O6JIGCDBH1",FALSE,0,NA,"2019-04-18 22:25:10",FALSE,NA,"1119003966334017536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JabariusGates",0,FALSE,FALSE,NA,NA,"Tupleo MS"
"This is how they filmed the football scene in ""The Dark Knight Rises."" (Via @CheddarGadgets) https://t.co/Q3hJmukAN8",FALSE,8,NA,"2019-04-18 22:25:00",FALSE,NA,"1119003923971358720",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","cheddar",2,FALSE,FALSE,NA,NA,"New York, NY"
"Man tell me why my college got the best Fckn football schedule this season <U+0001F629> #HBCU https://t.co/LGRddnP4D1",FALSE,0,NA,"2019-04-18 22:24:24",FALSE,NA,"1119003775921008640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LacedMe_",0,FALSE,FALSE,NA,NA,"Atlanta, GA"
"@HaydenWinks Totally, and we probably won't ever have 32 smart guys running the show haha there's still stooges in… https://t.co/HADY16qwEn",FALSE,1,"HaydenWinks","2019-04-18 22:24:19",TRUE,"1119003486526382080","1119003752097374208","838999572093399040","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amicsta",0,FALSE,FALSE,NA,NA,"Allentown, NJ"
"Men will spazz out over football and tweet about it all day long but when women get excited about something they’re… https://t.co/wYf5jnJznW",FALSE,0,NA,"2019-04-18 22:24:18",TRUE,NA,"1119003749312155648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aduke_Lewa",0,FALSE,FALSE,NA,NA,"Waterloo, Ontario"
"Coastal Carolina football stadium. https://t.co/v39L3bHsJn",FALSE,0,NA,"2019-04-18 22:24:10",FALSE,NA,"1119003714910605312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","267mims",0,FALSE,FALSE,NA,NA,"Myrtle Beach, SC - Miami, FL "
"@EliStewart20 PrepStar Magazine has identified you as a college prospect via HUDL. Step 1 complete the athletic que… https://t.co/QtVCUY1TjN",FALSE,0,"EliStewart20","2019-04-18 22:24:04",TRUE,NA,"1119003690214412288","1058781421450547200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CSAPrepStar",0,FALSE,FALSE,NA,NA,"California, USA"
