"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location"
"@VodkaMuse @Scottcrates Even the golf balls.",FALSE,2,"VodkaMuse","2019-04-18 03:08:30",FALSE,"1118712666665525248","1118712882500390912","74290735","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShannyBee2",0,FALSE,FALSE,NA,NA,"Sanford, FL"
"@MikeMcDonald89 @TigerWoods Significant economic barriers to golf but good points. You're a climber and Tiger's peak was Everest.",FALSE,1,"MikeMcDonald89","2019-04-18 03:08:07",FALSE,"1117623144594984960","1118712787671429120","43362712","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qihu00",0,FALSE,FALSE,NA,NA,"Ottawa"
"@BillyHo_Golf Softball is a great sport!",FALSE,0,"BillyHo_Golf","2019-04-18 03:07:57",FALSE,"1118619764031676416","1118712743455076352","46318078","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SHistorians",0,FALSE,FALSE,NA,NA,"Florida, USA"
"Every college boy and girl who also likes to golf. https://t.co/nVfxU6Pnqf",FALSE,0,NA,"2019-04-18 03:07:53",FALSE,NA,"1.11871272815e+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","steelpengos42",0,FALSE,FALSE,NA,NA,"Simpsonville, SC"
"Throwback. I was always trying to be @michaeljackson. Found grandmas shades and a golf glove. That was as close as… https://t.co/OLyTS5UcJy",FALSE,0,NA,"2019-04-18 03:07:49",TRUE,NA,"1118712709539946496",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","blakebaratz",1,FALSE,FALSE,NA,NA,"Minneapolis, MN"
"@SidewaysSmith @jmazzjd @fantasynational My 2019 golf ROI is 27.8%, I feel like there is only one direction that it can go from here.",FALSE,1,"SidewaysSmith","2019-04-18 03:07:38",FALSE,"1118711865184403456","1118712663146676224","186210765","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AndyMSFW",0,FALSE,FALSE,NA,NA,"Minnesota, USA"
"Left Handed Cleveland Golf Launcher Comp 19* 5 Fairway Wood Stiff Graphite Value https://t.co/SBacK5Kv8V",FALSE,0,NA,"2019-04-18 03:07:28",FALSE,NA,"1118712622852059136",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","GolfClubDeals1",0,FALSE,FALSE,NA,NA,"Boca Raton, FL"
"The half of the team that wasn’t at the Braves game were at Top Golf...(also, looks like Pity is no good at golf <U+0001F606><U+0001F606>… https://t.co/LeOhvSqApy",FALSE,7,NA,"2019-04-18 03:07:06",TRUE,NA,"1118712528979283968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robynsaghini",0,FALSE,FALSE,NA,NA,"Atlanta, GA"
"CLEVELAND VAS 792 IRON SET 3-PW GOLF CLUBS STIFF FLEX STEEL SHAFTS RH https://t.co/Rn26ebJ0MC",FALSE,0,NA,"2019-04-18 03:07:00",FALSE,NA,"1118712506225131520",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","GolfClubDeals1",0,FALSE,FALSE,NA,NA,"Boca Raton, FL"
"CR looking super good for his iron and wedge fitting tomorrow with one of the best @ianfrasergolf @theofficialtxg !… https://t.co/pmEmz58FCA",FALSE,0,NA,"2019-04-18 03:06:47",TRUE,NA,"1118712450399047680",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LarryCheungGolf",0,FALSE,FALSE,NA,NA,"Toronto, Canada"
"Saints bring home hardware at Edmond North Invitational at Lincoln Park West today.  They tied for 1st with Stillwa… https://t.co/ScmKjlTTjO",FALSE,35,NA,"2019-04-18 03:06:36",TRUE,NA,"1118712403833839616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","golf_ocs",6,FALSE,FALSE,NA,NA,"Edmond, OK"
"Attention golfers!! Check out our website for details on how to register for the annual Golf Scramble, Dinner &amp; Auc… https://t.co/XLpLmUpkVx",FALSE,0,NA,"2019-04-18 03:05:14",TRUE,NA,"1118712059615752192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SBStLouis",0,FALSE,FALSE,NA,NA,"St. Louis, MO"
"These ss attended the NEGA HS High Tech Recog Event on Wed.,April 17, 2019 at Cateechee Golf Club. Justin Rucker an… https://t.co/bpcX6zb0vk",FALSE,2,NA,"2019-04-18 03:05:02",TRUE,NA,"1118712010613645312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CommerceHigh",0,FALSE,FALSE,NA,NA,"Commerce, Georgia"
"Finally a nice day!

#utah #beaUTAHful #sunset #greengrass #golf #utahgolf https://t.co/5QfIbT1Dnn",FALSE,6,NA,"2019-04-18 03:04:14",FALSE,NA,"1118711810595729408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bountiful_ridge",0,FALSE,FALSE,NA,NA,"Bountiful, UT"
"@realDonaldTrump You must return from endless golf vacas at your resorts where you cheat in the game AND drive over the courses.",FALSE,0,"realDonaldTrump","2019-04-18 03:04:02",FALSE,"1118480533854543872","1118711759001538560","25073877","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","karenmblehm",0,FALSE,FALSE,NA,NA,"weeki wachee FL"
"@ChatByCC @realDonaldTrump How many rounds of golf had Stump played since this “National Emergency” was declared? Any guesses?",FALSE,1,"ChatByCC","2019-04-18 03:04:01",FALSE,"1118481235679035392","1118711754807304192","732980827","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","baldyriek",1,FALSE,FALSE,NA,NA,"Wisconsin, USA"
"Learning at Lunch! #prospecthillinn @louisacounty #springcreek #golf #springcreekgolfclub visitlouisavirginia thece… https://t.co/mCx8bWHEsk",FALSE,0,NA,"2019-04-18 03:04:00",TRUE,NA,"1118711749622898688",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","prospecthillcom",0,FALSE,FALSE,"-78.21105428","37.99125673","Charlottesville Va"
"So I get to hit golf balls onto Soldier Field on Friday. The double doink jokes will flow.",FALSE,4,NA,"2019-04-18 03:03:43",FALSE,NA,"1118711679813083136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FullCountTommy",0,FALSE,FALSE,NA,NA,"Chicago"
"@DisabledResist @cornish1969 Not a big follower of golf myself. I will say this. I seen some of tigers first and some of tigers most recent.",FALSE,0,"DisabledResist","2019-04-18 03:03:38",FALSE,"1118680701115801600","1118711658120208384","954257879317602304","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JPotrubacz",0,FALSE,FALSE,NA,NA,"Niagara Falls, NY"
"Must see for Golf https://t.co/SUlttZuHVe",FALSE,0,NA,"2019-04-18 03:03:23",FALSE,NA,"1118711593569636352",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kentturpin7575",0,FALSE,FALSE,NA,NA,"Utah, USA"
"Financial planner I have says I’ll be a millionaire at my current pace when I’m 65 <U+0001F612>. I’m going to need that 20 yea… https://t.co/2qykX073GY",FALSE,0,NA,"2019-04-18 03:02:36",TRUE,NA,"1118711399448866816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lcamp34",0,FALSE,FALSE,NA,NA,"Saratoga Springs, NY"
"The golf ALONE proves @FoxNews is fake news, toadying for @realDonaldTrump. They totally deserve their advertiser e… https://t.co/LGqtS9tVzA",FALSE,12,NA,"2019-04-18 03:02:32",TRUE,NA,"1118711382172676096",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","crooksandliars",6,FALSE,FALSE,NA,NA,"U.S.A."
"That's right.  SIX MONTHS @realDonaldTrump spent US tax dollars on his own golf courses while impersonating the ""le… https://t.co/7M3ED5j0Qj",FALSE,0,"DangerCormick","2019-04-18 03:02:30",TRUE,"1118708560576299008","1118711372685172736","820291166738399232","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DangerCormick",0,FALSE,FALSE,NA,NA,"United States"
"This is a great article the QCTimes wrote about my daughter! https://t.co/fJJ5t8NkNj",FALSE,0,NA,"2019-04-18 03:02:18",FALSE,NA,"1118711320537333760",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","OldeTownRoofing",1,FALSE,FALSE,NA,NA,"Moline, IL"
"From 1992: Tiger Woods, the future of golf https://t.co/aIuRuz9RF1 via @YouTube",FALSE,0,NA,"2019-04-18 03:02:05",FALSE,NA,"1118711267148140544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KostaLinardakis",0,FALSE,FALSE,NA,NA,"Little Silver, NJ"
"Check out my broadcast from my PlayStation 4! #PS4live (The Golf Club 2019)  live at https://t.co/yFRSSufT8A",FALSE,0,NA,"2019-04-18 03:01:45",FALSE,NA,"1118711185375813632",NA,"<a href=""http://www.playstation.com"" rel=""nofollow"">PlayStation(R)4</a>","ConradClement2",0,FALSE,FALSE,NA,NA,"Ottawa, Ontario"
"@SarahSpain Company: Golf Channel. I bet.",FALSE,1,"SarahSpain","2019-04-18 03:01:32",FALSE,"1118710255201005568","1118711130451578880","18494981","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mjd4987",0,FALSE,FALSE,NA,NA,"Grant Park, IL"
"What’s New in Pure Michigan Golf: PGA Tour Returns, New Courses Open, NGCOA Course of Year and Hickory Golf… https://t.co/yguagKLQYe",FALSE,0,NA,"2019-04-18 03:01:30",TRUE,NA,"1118711119332376576",NA,"<a href=""https://hedgeaccordingly.com"" rel=""nofollow"">HEDGEP</a>","politicalHEDGE",0,FALSE,FALSE,NA,NA,"United States"
"@notedfuturist @EdgeofSports John Carlos wasn’t running in a time when politics infected every facet of our lives,… https://t.co/wMRcqKczeb",FALSE,0,"notedfuturist","2019-04-18 03:01:17",TRUE,"1118709694162333696","1118711067545362432","1121036982","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aposter1228",0,FALSE,FALSE,NA,NA,"New Jersey, USA"
"I’ve never played golf or mini golf <U+26F3><U+FE0F>",FALSE,0,"MarJoeRee","2019-04-18 03:01:00",FALSE,"1118710926088208384","1118710993062854656","110834410","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarJoeRee",0,FALSE,FALSE,NA,NA,"North Carolina, USA"
"Heard a funny story about @realDonaldTrump - I guess he plays the 1st round of his new golf courses by himself so h… https://t.co/zSUXjUdq2M",FALSE,0,NA,"2019-04-18 03:00:51",TRUE,NA,"1118710955695923200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vhuynh13",0,FALSE,FALSE,NA,NA,"Minneapolis MN"
